PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,num_times_delinquent,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_Flag,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag
1,5,4,1,0,0,0.0,0.0,0.2,0.8,0,0,0.0,0.0,0,0,0,0,1,0,4,1,4,0,72,18,549,11,29,0,0,0,0,0,21,5,11,0,0,0,0,0,0,0,0,0,29,6,0,0,0,6,0,0,566,0,0,0,Married,12TH,48,M,51000,114,0.2,0.0,0.798,0,1,0.0,0.0,0.0,0.0,1,0,PL,PL,696,P2
2,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,209,1,0,0,Single,GRADUATE,23,F,19000,50,1.0,0.0,0.37,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,ConsumerLoan,685,P2
3,8,0,8,1,0,0.125,0.0,1.0,0.0,2,0,0.25,0.0,1,1,0,6,1,0,0,2,6,0,47,2,302,9,25,1,9,8,0,0,10,5,10,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,587,0,0,0,Married,SSC,40,M,18,191,1.0,0.5,0.585,0,0,0.0,0.0,0.0,0.0,1,0,ConsumerLoan,others,693,P2
5,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,1,0,0,0,0,0,3,0,2,131,32,583,0,0,0,0,0,0,0,53,4,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3951,0,0,0,Married,POST-GRADUATE,48,M,15000,75,0.333,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,AL,AL,753,P1
6,6,5,1,0,0,0.0,0.0,0.167,0.833,0,1,0.0,0.167,0,4,0,0,2,0,0,6,0,0,150,17,245,14,270,0,0,0,13,11,5,0,2,3,0,1,0,0,0,0,0,0,26,15,2,0,1,7,3,3,7,6,5,4,Married,12TH,35,M,0,154,0.167,0.0,0.0,0,0,1.0,0.0,0.429,0.0,1,0,ConsumerLoan,PL,668,P3
8,6,4,2,0,0,0.0,0.0,0.333,0.667,1,2,0.167,0.333,0,1,0,0,0,0,0,6,0,5,36,8,74,3,133,0,0,0,2,2,27,0,4,0,0,0,0,0,0,0,0,0,133,2,0,0,0,0,0,0,2,1,1,1,Married,UNDER GRADUATE,30,M,27000,126,0.333,0.0,0.3,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,676,P2
9,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,16,16,424,3,38,2,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0,0,108,1,1,0,Married,SSC,39,F,18000,122,1.0,0.0,0.465,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,658,P4
11,7,2,5,1,0,0.143,0.0,0.714,0.286,3,1,0.429,0.143,0,2,1,2,0,0,2,2,5,0,64,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,1,4,0,0,87,1,1,1,Single,GRADUATE,27,M,20000,95,0.714,0.333,0.846,1,1,0.0,1.0,0.0,0.333,0,0,CC,others,685,P2
13,2,2,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2,0,1,49,49,1037,1,31,0,0,0,1,0,33,4,10,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,3,2,1,1,Married,SSC,30,M,55000,126,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,669,P2
14,2,1,1,1,0,0.5,0.0,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,16,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,164,1,1,0,Married,SSC,39,M,25000,125,0.5,1.0,0.345,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,ConsumerLoan,687,P2
15,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,38,38,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1135,0,0,0,Married,12TH,27,M,30000,154,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,others,others,692,P2
16,8,1,7,7,1,0.875,0.125,0.875,0.125,8,1,1.0,0.125,2,1,1,5,0,0,0,1,7,1,9,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,1,1,1,46,13,11,5,Married,12TH,44,M,25000,245,0.875,0.875,0.815,1,0,1.0,1.0,1.0,1.0,0,0,ConsumerLoan,others,643,P4
17,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,7,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,234,1,0,0,Married,SSC,30,M,30000,121,1.0,0.0,1.223,0,0,0.0,0.0,0.0,0.0,0,0,others,others,678,P2
20,7,5,2,1,0,0.143,0.0,0.286,0.714,1,1,0.143,0.143,0,0,0,0,2,0,0,5,2,5,138,3,80,8,89,0,1,1,2,1,38,6,12,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,1679,0,0,0,Married,UNDER GRADUATE,31,M,48000,126,0.286,1.0,0.539,0,0,0.0,0.0,0.0,0.0,1,0,others,others,720,P1
21,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,8,8,45,1,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,35,2,1,1,Married,SSC,25,M,65000,129,1.0,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0,0,others,ConsumerLoan,669,P2
22,5,2,3,0,1,0.0,0.2,0.6,0.4,2,1,0.4,0.2,1,3,0,1,0,0,1,3,2,0,92,10,51,1,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,4,0,2,200,3,0,0,Married,UNDER GRADUATE,35,F,64000,35,0.6,0.0,1.033,0,1,0.0,0.0,0.0,0.0,0,0,PL,others,699,P2
23,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,40,40,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,1,Single,GRADUATE,24,M,15000,60,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,678,P2
25,3,1,2,0,0,0.0,0.0,0.667,0.333,1,1,0.333,0.333,0,0,0,0,0,0,0,1,2,3,51,10,77,0,0,0,0,0,0,0,60,8,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,293,1,0,0,Single,12TH,22,M,30000,121,0.667,0.0,0.895,0,0,0.0,0.0,0.0,0.0,0,0,others,others,702,P3
27,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,59,59,1341,10,190,0,2,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,190,3,2,1,1,0,0,0,58,1,1,1,Single,12TH,28,M,20000,39,0.0,0.0,0.0,1,0,0.0,1.0,0.0,0.5,0,0,CC,others,660,P3
28,11,6,5,1,1,0.091,0.091,0.455,0.545,3,1,0.273,0.091,2,1,0,1,8,0,0,9,2,1,37,3,76,0,0,0,0,0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,156,1,1,0,Married,12TH,30,F,10000,23,0.455,0.333,0.902,0,0,1.0,0.0,1.0,0.0,1,0,PL,others,685,P2
29,42,34,8,2,2,0.048,0.048,0.19,0.81,5,3,0.119,0.071,3,0,0,0,26,1,0,35,7,15,159,4,88,1,183,0,0,0,1,1,107,17,43,0,0,0,0,0,0,0,0,0,183,1,0,0,0,0,0,0,366,0,0,0,Married,SSC,37,F,25000,101,0.19,0.4,0.979,0,0,0.0,0.0,0.0,0.0,1,1,HL,HL,740,P1
30,3,0,3,2,0,0.667,0.0,1.0,0.0,3,0,1.0,0.0,2,0,0,2,0,0,0,0,3,1,10,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,71,3,1,1,Single,GRADUATE,33,M,50000,80,1.0,0.667,0.442,0,0,0.0,0.0,0.0,0.0,0,0,others,CC,678,P2
31,10,2,8,3,0,0.3,0.0,0.8,0.2,5,2,0.5,0.2,2,3,1,2,0,2,0,5,5,2,38,2,68,4,25,0,2,2,1,0,31,5,11,0,0,0,0,0,0,0,0,0,25,14,1,1,1,3,2,3,60,12,9,2,Single,POST-GRADUATE,22,M,50000,64,0.8,0.6,0.835,1,0,0.667,1.0,0.667,1.0,0,1,others,others,671,P2
32,4,1,3,2,0,0.5,0.0,0.75,0.25,3,0,0.75,0.0,0,2,0,2,0,0,0,2,2,0,47,2,34,0,0,0,0,0,0,0,9,4,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,12,11,10,Married,SSC,52,M,21000,182,0.75,0.667,0.764,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,638,P4
33,5,2,3,2,1,0.4,0.2,0.6,0.4,4,1,0.8,0.2,2,0,0,5,0,0,0,0,5,0,20,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,149,4,1,0,Married,12TH,41,M,18000,217,0.6,0.5,0.635,0,0,0.0,0.0,0.0,0.0,0,0,HL,ConsumerLoan,689,P2
34,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,4,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,16,4,3,2,Single,GRADUATE,25,M,15000,63,1.0,1.0,0.6,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,663,P3
35,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,1,0,0,0,0,0,0,1,1,2,26,7,99,0,0,0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,207,1,0,0,Married,SSC,25,M,12000,40,1.0,0.0,0.762,0,0,0.0,0.0,0.0,0.0,0,0,others,others,692,P2
36,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,19,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,581,0,0,0,Married,GRADUATE,26,M,30000,62,1.0,0.0,0.526,0,0,0.0,0.0,0.0,0.0,0,0,others,others,693,P2
